uid,formula,charge,n_c,frequency_cm,scale,frequency_unscaled_cm,intensity_km_mol,symmetry,family
617,C384H48,0,384,433.7765,0.9563,453.5987660775907,0.0056,A2U,low / skeletal
617,C384H48,0,384,434.2958,0.9563,454.1417965073721,0.1461,E1U,low / skeletal
617,C384H48,0,384,434.2958,0.9563,454.1417965073721,0.1461,E1U,low / skeletal
617,C384H48,0,384,434.7288,0.9563,454.59458328976257,0.0,E2G,low / skeletal
617,C384H48,0,384,434.7288,0.9563,454.59458328976257,0.0,E2G,low / skeletal
617,C384H48,0,384,438.7561,0.9563,458.8059186447768,0.0,E2U,low / skeletal
617,C384H48,0,384,438.7561,0.9563,458.8059186447768,0.0,E2U,low / skeletal
617,C384H48,0,384,438.7656,0.9563,458.8158527658685,0.0,E1G,low / skeletal
617,C384H48,0,384,438.7656,0.9563,458.8158527658685,0.0,E1G,low / skeletal
617,C384H48,0,384,442.1356,0.9563,462.3398515110321,0.0,A2G,low / skeletal
617,C384H48,0,384,446.943,0.9563,467.3669350622189,0.0,E2G,low / skeletal
617,C384H48,0,384,446.943,0.9563,467.3669350622189,0.0,E2G,low / skeletal
617,C384H48,0,384,448.1809,0.9563,468.6614033253163,0.8898,E1U,low / skeletal
617,C384H48,0,384,448.1809,0.9563,468.6614033253163,0.8898,E1U,low / skeletal
617,C384H48,0,384,450.972,0.9563,471.58004810206,0.0,A1G,low / skeletal
617,C384H48,0,384,451.3516,0.9563,471.97699466694553,0.0,A1U,low / skeletal
617,C384H48,0,384,452.7278,0.9563,473.416082819199,0.0,E1G,low / skeletal
617,C384H48,0,384,452.7278,0.9563,473.416082819199,0.0,E1G,low / skeletal
617,C384H48,0,384,452.764,0.9563,473.4539370490432,0.0,B2G,low / skeletal
617,C384H48,0,384,453.5735,0.9563,474.3004287357524,0.0,E2U,low / skeletal
617,C384H48,0,384,453.5735,0.9563,474.3004287357524,0.0,E2U,low / skeletal
617,C384H48,0,384,454.8898,0.9563,475.6768796402802,0.0,E1G,low / skeletal
617,C384H48,0,384,454.8898,0.9563,475.6768796402802,0.0,E1G,low / skeletal
617,C384H48,0,384,454.922,0.9563,475.7105510822964,0.0,A1U,low / skeletal
617,C384H48,0,384,455.4717,0.9563,476.2853706995712,0.0,B2G,low / skeletal
