scale,n_bands,frequency_unscaled_cm
0.9097,2488,1981.150049466857
0.9097,2488,1887.8733648455536
0.9097,2488,2036.6261404858749
0.9097,2488,1984.3491260855228
0.9097,2488,1975.17313400022
0.9097,2488,1901.3046059140377
0.9097,2488,2027.2552489831808
0.9097,2488,2004.2231504891724
0.9097,2488,2028.844454215676
0.9097,2488,2010.542706386721
0.9097,2488,2006.925140156096
0.9097,2488,1904.83027371661
0.9097,2488,1967.6652742662416
0.9097,2488,2092.694844454216
0.9097,2488,2037.7943278003736
0.9097,2488,1914.911948994174
0.9097,2488,1916.184566340552
0.9097,2488,1858.0023084533364
0.9097,2488,2081.5635923930968
0.9097,2488,1904.019347037485
0.9097,2488,1982.8167527756405
0.9097,2488,2092.7883917775093
0.9097,2488,2006.9079916455976
0.9097,2488,1937.2370012091897
0.9097,2488,2052.541497196878
0.9097,2488,2024.8374189293172
0.9097,2488,2105.7020995932726
0.9097,2488,2027.2848191711555
0.9097,2488,2086.087941079477
0.9097,2488,2115.3417610201163
0.9097,2488,1926.5163240628776
0.9097,2488,1838.292953721007
0.9097,2488,2039.784214576234
0.9097,2488,1970.1266351544468
0.9097,2488,1837.628229086512
0.9097,2488,2033.108937012202
0.9097,2488,2086.1062987798177
0.9097,2488,2083.3416510937677
0.9097,2488,2033.603715510608
0.9097,2488,2078.47224359679
0.9097,2488,2016.9752665713968
0.9097,2488,1939.6210838738048
0.9097,2488,1925.550950862922
0.9097,2488,1925.208090579312
0.9097,2488,1877.977025392987
0.9097,2488,2028.4351984170603
0.9097,2488,2125.968780916786
0.9097,2488,2020.3582499725187
0.9097,2488,2076.940749697703
0.9097,2488,1824.930746399912
0.9097,2488,2100.24205782126
0.9097,2488,2027.5162141365288
0.9097,2488,1872.22688798505
0.9097,2488,1967.190942068814
0.9097,2488,1979.6022864680665
0.9097,2488,1933.1655490821151
0.9097,2488,1967.5126964933493
0.9097,2488,1982.5967901505992
0.9097,2488,2037.9595471034409
0.9097,2488,1925.6184456414203
0.9097,2488,2026.5520501264157
0.9097,2488,2104.9480048367595
0.9097,2488,2047.8266461470812
0.9097,2488,1867.9279982411783
0.9097,2488,1886.8723755084093
0.9097,2488,1929.1597229856
0.9097,2488,1894.0058260965156
0.9097,2488,1878.5907442013847
0.9097,2488,2037.2715180828843
0.9097,2488,2050.762888864461
0.9097,2488,2056.3912278773223
0.9097,2488,2065.147741013521
0.9097,2488,1836.6905573265915
0.9097,2488,2055.015609541608
0.9097,2488,2004.0627679454767
0.9097,2488,2066.0656260305595
0.9097,2488,1948.942508519292
0.9097,2488,1944.829943937562
0.9097,2488,1899.046059140376
0.9097,2488,1809.0853028470924
0.9097,2488,1828.0172584368477
0.9097,2488,1891.187094646587
0.9097,2488,2087.443442893262
0.9097,2488,2082.567110036276
0.9097,2488,2032.137188083984
0.9097,2488,2054.189293173574
0.9097,2488,1970.0559525118172
0.9097,2488,1983.962405188524
0.9097,2488,2014.827525557876
0.9097,2488,1908.1471913817743
0.9097,2488,2045.106078927119
0.9097,2488,1883.555128064197
0.9097,2488,1896.9572386501045
0.9097,2488,2081.1161921512585
0.9097,2488,2105.484225568869
0.9097,2488,1925.8775420468287
0.9097,2488,2013.379685610641
0.9097,2488,1908.535451247664
0.9097,2488,1986.5950313290095
0.9097,2488,2022.8989776849512
0.9097,2488,1918.7558535781027
0.9097,2488,1851.1263053753985
0.9097,2488,2083.540068154337
0.9097,2488,1997.6325162141368
0.9097,2488,2001.9086512036936
0.9097,2488,2022.5967901505992
0.9097,2488,2057.4821369682318
0.9097,2488,2071.8933714411346
0.9097,2488,2069.2019347037485
0.9097,2488,1983.890953061449
0.9097,2488,2023.8178520391336
0.9097,2488,1994.9787842145763
0.9097,2488,2090.1348796306474
0.9097,2488,2095.3423106518635
0.9097,2488,1925.70253929867
0.9097,2488,1917.5520501264152
0.9097,2488,1944.2335934923603
0.9097,2488,1892.2628339012865
0.9097,2488,2065.044959876883
0.9097,2488,1884.02858085083
0.9097,2488,1888.2503022974608
0.9097,2488,2048.280861822579
0.9097,2488,1849.1975376497744
0.9097,2488,2003.6229526217437
0.9097,2488,1969.170715620534
0.9097,2488,2029.5137957568431
0.9097,2488,2056.050895899747
0.9097,2488,1836.3506650544136
0.9097,2488,1802.498845773332
0.9097,2488,2012.768605034627
0.9097,2488,2081.371551060789
0.9097,2488,2098.20501264153
0.9097,2488,1842.7239749367925
0.9097,2488,2095.423766076729
0.9097,2488,1926.280312190832
0.9097,2488,1884.2514015609545
0.9097,2488,2106.302187534352
0.9097,2488,2114.175222600857
0.9097,2488,1888.9362427173796
0.9097,2488,1925.9142574475104
0.9097,2488,1866.613279103001
0.9097,2488,1955.47565131362
0.9097,2488,2135.652522809717
0.9097,2488,2043.72606353743
0.9097,2488,2036.1525777728923
0.9097,2488,2002.027921292734
0.9097,2488,2013.1637902605253
0.9097,2488,1827.5117071562051
0.9097,2488,2035.661866549412
0.9097,2488,1964.5101681873143
0.9097,2488,1884.6059140375949
0.9097,2488,1985.765746949544
0.9097,2488,2017.4522370012091
0.9097,2488,2003.3182367813563
0.9097,2488,2054.719028251072
0.9097,2488,2027.8653402220516
0.9097,2488,1899.925250082445
0.9097,2488,1977.91260855227
0.9097,2488,1828.8627019896671
0.9097,2488,2081.69583379136
0.9097,2488,1851.597669561394
0.9097,2488,1800.3512146861606
0.9097,2488,2074.9873584698253
0.9097,2488,1852.42354622403
0.9097,2488,1980.94624601517
0.9097,2488,1940.082224909311
0.9097,2488,1976.6483456084425
0.9097,2488,2013.8612729471256
0.9097,2488,2017.5883258216995
0.9097,2488,2032.829943937562
0.9097,2488,2074.502363416511
0.9097,2488,2059.131252061119
0.9097,2488,1946.661976475761
0.9097,2488,2074.0627679454765
0.9097,2488,2203.9605364405847
0.9097,2488,2078.141585137958
0.9097,2488,2105.666813235133
0.9097,2488,1995.01176211938
0.9097,2488,1898.8171924810376
0.9097,2488,1890.6930856326264
0.9097,2488,1890.707925689788
0.9097,2488,1939.692316148181
0.9097,2488,2075.0367154006817
0.9097,2488,1950.4616906672527
0.9097,2488,1986.4468506100916
0.9097,2488,2003.5817302407388
0.9097,2488,1948.80850829944
0.9097,2488,1881.718698472024
0.9097,2488,2337.6694514675173
0.9097,2488,1916.1688468725956
